name,rec,rec_yds,rec_tds
,,,
Travis Kelce,95,1211,9
George Kittle,86,1106,8
Mark Andrews,73,939,8
Darren Waller,77,967,5
Zach Ertz,79,801,6
Tyler Higbee,71,752,6
Evan Engram,66,715,5
Hunter Henry,64,710,5
Hayden Hurst,63,684,5
Rob Gronkowski,48,664,7
Jared Cook,47,671,7
Austin Hooper,59,624,5
Mike Gesicki,56,618,5
Dallas Goedert,55,579,5
T.J. Hockenson,52,594,5
Jack Doyle,56,540,5
Jonnu Smith,48,599,4
Blake Jarwin,48,552,5
Eric Ebron,42,483,7
Chris Herndon,52,547,4
Noah Fant,44,608,4
Irv Smith Jr.,48,448,4
Ian Thomas,47,422,4
Greg Olsen,44,435,4
Will Dissly,43,416,4
Dawson Knox,33,426,5
Gerald Everett,38,416,3
Kyle Rudolph,37,333,4
Jace Sternberger,32,388,4
Dan Arnold,29,396,4
O.J. Howard,33,445,2
Darren Fells,31,312,4
Tyler Eifert,33,334,3
David Njoku,28,310,4
Jimmy Graham,29,340,3
Anthony Firkser,29,398,2
Jordan Akins,32,367,2
C.J. Uzomah,37,292,2
Nick Boyle,32,330,2
Jeremy Sprinkle,30,275,2
